case_id,corpus,status,current_utterance,history,first_divergence_stage,root_cause_id,severity,cutover_blocker,confidence,reason,execution_boundary,failed_turn_index,actual_rejection,observed_axes,downstream_effect,evidence,evidence_hash,complete_semantic_gold_evaluable,full_plan_accuracy,retained_missing_labels
G81-011,100_PARSER_AXIS_GOLD,FAIL,列出业务员名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",6fca2169773a9dd8aae574c1da7ee038394a910e1e1b1c6d4f61b1c895c99805,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-012,100_PARSER_AXIS_GOLD,FAIL,列出省份名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",f6b911fb0f12a3200554c9e32dcc2c001c907c4c5153a63b73a5e485089e0910,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-013,100_PARSER_AXIS_GOLD,FAIL,列出产品分类名单,[],MENTION_BOUNDARY,RC-BOUNDARY-OBJECT,P1,True,PROVEN,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": false}","[{""stage"": ""QUERY_SHAPE"", ""evidence"": ""Recorded parser axis mismatch"", ""axis"": ""query_shape"", ""causal_order"": ""Co-observed proxy; not an independently counted production defect""}]","[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",edc1860086917663a04f38b8f456b10f9a31c86d6eb7b19039d97e8059ad9159,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-014,100_PARSER_AXIS_GOLD,FAIL,列出医院名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",282b1494d0301c40a2370ebd5fa4ad42c44570806b75819dc4f11bff18038ea1,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-015,100_PARSER_AXIS_GOLD,PASS,查询含税销售总额,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",a39bd2775adcb59b39305852d2307c22cf02cf0eaa9a9079a84b2b79d603f568,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-016,100_PARSER_AXIS_GOLD,PASS,请告诉我含税销售总额,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",f4c389d390516f323c79b0c6f756eba2a1b0ff23cdd1871925cb8d20a6374c02,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-017,100_PARSER_AXIS_GOLD,PASS,查询不含税销售总额,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",f7efe0a7739244ae27b9ae2ddaf961b797dc1b1aadf2b31c5975b4838f2797c0,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-018,100_PARSER_AXIS_GOLD,PASS,请告诉我不含税销售总额,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",d7b804ec823472925e28ae171248ca4db6f0f247153aae365e83921df90b941f,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-019,100_PARSER_AXIS_GOLD,PASS,查询销售总成本,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",243b00ca8bf23181a481bf759429643d5d55c2a9305ef96796f29a211f4afcc7,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-020,100_PARSER_AXIS_GOLD,PASS,请告诉我销售总成本,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",519204809a695f2d199467d498e918993fe27527c4effdd47bd4b2bf95409705,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-021,100_PARSER_AXIS_GOLD,PASS,查询销售总数量,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",20b8a61d09f158cba764483a41beb8514a9954247ebf7c7c5ae2766f81660410,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-022,100_PARSER_AXIS_GOLD,PASS,请告诉我销售总数量,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",beb8bc0dc906ce8ffb55dc9ce05d763d5e28aba7bfb89d1c2b4df7cc2940e214,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-023,100_PARSER_AXIS_GOLD,PASS,查询订单笔数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",8fc0e9529ef0cf8d05bf27a4f28f9badfb8b839da1073cef5f6780217dece8bc,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-024,100_PARSER_AXIS_GOLD,PASS,请告诉我订单笔数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",06d0789a54ead104519f791173e48cb6fe836979f4ab7a4708f9fdfd7b06420e,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-025,100_PARSER_AXIS_GOLD,PASS,查询已合作经销商数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",3a405431f96529607390b3db642498ed5b7b4ff3b3aefcc3af85c6754f7f10c6,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-026,100_PARSER_AXIS_GOLD,PASS,请告诉我已合作经销商数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",81189a431aab48daaf7e7b0b2476a2aa0a5de1099d21b0534fb65b72536a62e7,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-027,100_PARSER_AXIS_GOLD,PASS,查询已合作医院数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",aec6d8978d451532ac5879238d12c431ecb5cd235d50a2b9dc86d9f66d79a42f,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-028,100_PARSER_AXIS_GOLD,PASS,请告诉我已合作医院数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",94aba53b52a4f584176e5bf7593337dc4e0a73944b172084c22c6c5c76cfb24f,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-029,100_PARSER_AXIS_GOLD,FAIL,查询区域全部医院总数,[],MENTION_BOUNDARY,RC-BOUNDARY-METRIC,P0,True,PROVEN,One exact governed compound metric is split into entity/filter/measure pieces. Current recovery deliberately requires contiguous compatible pieces; these captures do not satisfy it.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": false}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",6e97a374df74a3bdc3a21c6be9b0dfcef04aaf9a7bbfc7f1f21f8d24b912ef17,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-030,100_PARSER_AXIS_GOLD,FAIL,请告诉我区域全部医院总数,[],MENTION_BOUNDARY,RC-BOUNDARY-METRIC,P0,True,PROVEN,One exact governed compound metric is split into entity/filter/measure pieces. Current recovery deliberately requires contiguous compatible pieces; these captures do not satisfy it.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": false}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",95e63f008c1f0977bb4438707fd50e6fe787afa35c9373c4d544f1c11474f7ac,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-031,100_PARSER_AXIS_GOLD,PASS,查询合作时长,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",5be40d879ee3a8d83b242a7ebc4738e978ceb2c8e374414e4093b74a478609df,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-032,100_PARSER_AXIS_GOLD,PASS,请告诉我合作时长,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",5caecb5825fe8da2e75648863eb0297446644f171476221745503ae6b8c25db9,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-033,100_PARSER_AXIS_GOLD,FAIL,查询医院下属科室数量,[],MENTION_BOUNDARY,RC-BOUNDARY-METRIC,P0,True,PROVEN,One exact governed compound metric is split into entity/filter/measure pieces. Current recovery deliberately requires contiguous compatible pieces; these captures do not satisfy it.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": false}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",a84c1626406f02ae85e3be316131882766c758d2c0464abe6b9cff1719dc7f43,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-034,100_PARSER_AXIS_GOLD,FAIL,请告诉我医院下属科室数量,[],MENTION_BOUNDARY,RC-BOUNDARY-METRIC,P0,True,PROVEN,One exact governed compound metric is split into entity/filter/measure pieces. Current recovery deliberately requires contiguous compatible pieces; these captures do not satisfy it.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": false}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",c356c6979383f6af282e2f0808076d1155b1f43973dd70d17c5f3687ef678f98,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-035,100_PARSER_AXIS_GOLD,PASS,查询区域医院覆盖率,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",1a6b92f8416061effb51dc3bebface4301adae6c8895b1f8d926908ce1195af0,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-036,100_PARSER_AXIS_GOLD,PASS,请告诉我区域医院覆盖率,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",93c359660acc0a6b11fc79fd18e6c1930f92c63cb88231c10b6b4e5986d4805e,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-037,100_PARSER_AXIS_GOLD,PASS,按医院等级统计订单笔数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""turn_relation"": true, ""mentions"": true, ""query_shape"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",c0e6bb9aff6675ab4f03aa8032fea912ac61a9a989df767615b99e2463b64394,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-038,100_PARSER_AXIS_GOLD,PASS,按渠道业态统计订单笔数,[],,,,False,PASS_FOR_LISTED_AXES_ONLY,All supplied labeled axes passed; full semantic acceptance is not established,CURRENT_TURN_PARSER_ONLY,,,"{""turn_relation"": true, ""mentions"": true, ""query_shape"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",0372e7e88f077116c3f1b453a8deb94661caf1e0c2b32fad02bdecf626e8d6a3,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
