service,nodeid,prior_failure_id,classification,blocking_level,status,evidence,next_action
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\u67e5\u8be2\u6628\u5929\u8ba2\u5355\u660e\u7ec6\uff0c\u663e\u793a\u8ba2\u5355\u53f7\u548c\u91d1\u989d-DETAIL_QUERY-COMPLETED],pytest-23,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_session_event_log.py::test_orchestrator_records_replayable_request_intent_and_final_events,pytest-24,NON_BLOCKING_LEGACY_FAILURE,NONE,BACKLOG,"[""Legacy memory/event-log wrapper assertions; V2 comparison needs its own stage trace, tracked by H-01""]",Keep in backlog; do not rebuild Legacy memory/event collection for numeric cleanup.
DataAnalysis_Agent,tests/test_task_dag.py::test_real_report_classifier_resumes_all_facets_with_one_period,pytest-25,EVALUATION_GAP,P1,OPEN,"[""Report facet period: test assumes time Pending then one period for every facet; current default-time path invalidates that setup and no V2 facet-period label is approved"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_tracing_evaluation.py::test_orchestrator_records_trace_summary_after_final_event,pytest-26,NON_BLOCKING_LEGACY_FAILURE,NONE,BACKLOG,"[""Legacy memory/event-log wrapper assertions; V2 comparison needs its own stage trace, tracked by H-01""]",Keep in backlog; do not rebuild Legacy memory/event collection for numeric cleanup.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_clarify_then_complete,pytest-27,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_advanced_intents_obey_data_and_input_gates[TREND_ANALYSIS-\u5206\u6790\u672c\u6708\u9500\u552e\u989d\u7684\u8d8b\u52bf-SAFE_FALLBACK],pytest-28,EVALUATION_GAP,P1,OPEN,"[""Advanced analysis result-status policy: current PARTIAL_SUCCESS versus old SAFE_FALLBACK assertion requires an authoritative result contract, not changing an expected string"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_advanced_intents_obey_data_and_input_gates[COMPARISON_ANALYSIS-\u5bf9\u6bd4\u672c\u6708\u9500\u552e\u989d\u7684\u540c\u6bd4-SAFE_FALLBACK],pytest-29,EVALUATION_GAP,P1,OPEN,"[""Advanced analysis result-status policy: current PARTIAL_SUCCESS versus old SAFE_FALLBACK assertion requires an authoritative result contract, not changing an expected string"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_advanced_intents_obey_data_and_input_gates[COMPOSITION_ANALYSIS-\u6309\u533a\u57df\u5206\u6790\u672c\u6708\u9500\u552e\u989d\u7684\u6784\u6210\u5360\u6bd4-SAFE_FALLBACK],pytest-30,EVALUATION_GAP,P1,OPEN,"[""Advanced analysis result-status policy: current PARTIAL_SUCCESS versus old SAFE_FALLBACK assertion requires an authoritative result contract, not changing an expected string"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_advanced_intents_obey_data_and_input_gates[ANOMALY_ANALYSIS-\u68c0\u6d4b\u672c\u6708\u9500\u552e\u989d\u7684\u5f02\u5e38-SAFE_FALLBACK],pytest-31,EVALUATION_GAP,P1,OPEN,"[""Advanced analysis result-status policy: current PARTIAL_SUCCESS versus old SAFE_FALLBACK assertion requires an authoritative result contract, not changing an expected string"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_workflow.py::test_workflow_advanced_intents_obey_data_and_input_gates[ROOT_CAUSE_ANALYSIS-\u5f52\u56e0\u672c\u6708\u9500\u552e\u989d\u7684\u5f02\u5e38\u539f\u56e0-SAFE_FALLBACK],pytest-32,EVALUATION_GAP,P1,OPEN,"[""Advanced analysis result-status policy: current PARTIAL_SUCCESS versus old SAFE_FALLBACK assertion requires an authoritative result contract, not changing an expected string"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
Oagnet,tests/test_cross_domain_hardening.py::test_entity_attribute_search_allows_semantic_model_wide_scope,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Original two assertions pass when only the missing find_exact test double is supplied; current-turn exact-fixture-probe-valid.json""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_entity_attribute_search_api.py::EntityAttributeSearchApiTest::test_search_is_scoped_and_returns_metadata,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Original two assertions pass when only the missing find_exact test double is supplied; current-turn exact-fixture-probe-valid.json""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_metricless_attribute_detail_uses_registered_subject_event_time,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_filter_contract_prefers_unique_published_main_attribute_for_value_tie,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_untyped_entity_mention_is_bound_to_unique_source_catalog_value,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_untyped_entity_mention_whitespace_variant_reuses_role_bound_filter,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_untyped_entity_mention_searches_all_catalog_chunks,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_intent_asl_contract.py::test_untyped_entity_mention_fails_closed_when_source_value_is_not_unique,,ENVIRONMENT_DEPENDENCY,P1,OPEN,"[""docs/phase0c_root_cause/remaining_oagnet_failures.json"", ""Existing offline traceback: required catalog MySQL host unavailable at an unmocked exact/registered-attribute lookup""]",Provide deterministic complete catalog doubles in evaluator/integration fixtures; never load production credentials merely to make pytest green.
Oagnet,tests/test_relational_semantic_scope.py::test_relationship_code_filter_with_name_value_uses_unique_authorized_name_field,,CUTOVER_BLOCKER_P0,P0,FIXED_SOURCE_OFFLINE,"[""B-01"", ""Two independent pre-fix runs per node"", ""Oagnet/agent.py::_normalize_relation_name_filters""]",Include in zero-tolerance canonical-binding acceptance; verify deployed revision later.
Oagnet,tests/test_relational_semantic_scope.py::test_relationship_name_filter_resolves_one_field_among_multiple_endpoint_names,,CUTOVER_BLOCKER_P0,P0,FIXED_SOURCE_OFFLINE,"[""B-01"", ""Two independent pre-fix runs per node"", ""Oagnet/agent.py::_normalize_relation_name_filters""]",Include in zero-tolerance canonical-binding acceptance; verify deployed revision later.
