capability,status,blocking_level,blocker_ids,evidence,next_action,status_scope
Dataset Follow-up,BLOCKED,P0,"[""V-03"", ""E-01""]","[""app/semantic_v2/legacy_adapter.py; dataset transforms UNSUPPORTED; Legacy safe route regressions pass"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]","Bind actual ASL/SQL output identities and execution receipts to ResultContract, including correct baseline period selection/bucket pairing. Arithmetic consistency alone does not prove source query correctness. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.",PRODUCTION_REPLACEMENT_ACCEPTANCE
Semantic Scope,BLOCKED,P0,"[""V-02"", ""X-01"", ""C-03""]","[""0.2.2 current-scope and pinned state/compiler contract verified offline; legacy 0.2.1 guard preserved. Actual runtime binding/deployed caller trust remains unverified."", ""docs/cutover/v2_scope_bridge/closure_report.md"", ""Fresh target/persistence evidence and guarded candidate: docs/cutover/catalog_publication_candidate/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Integrate the autonomous recognition path through ScopedPlanSession; retain current-request and state isolation guards. Runtime adoption remains gated by catalog/evaluation/shadow evidence. Close production deployment trust and recovery before canary/cutover; continue offline evaluation now. Use the reviewed provisional identities per eligible shape; keep exact order/entity grain and unresolved relation paths scoped to affected cases. Continue independent role/mention/turn evaluation.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Catalog Version,BLOCKED,P0,"[""C-01"", ""C-03""]","[""Current 81/[205] authoritative snapshot captured live; UUID/model isolation fixed; V2/SQL propagation still open"", ""docs/cutover/catalog_identity/live_scope_evidence.json"", ""V2 scoped compiler now binds pin identity and requires full finish before output; no legacy HTTP/SQL cache integration yet"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Current source mapping capture and offline value read/acceptance: docs/cutover/v2_entity_value_sources/closure_report.md"", ""Fresh target/persistence evidence and guarded candidate: docs/cutover/catalog_publication_candidate/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Continue offline axis evaluation against the frozen hash; complete native publication before production canary/cutover. Use the reviewed provisional identities per eligible shape; keep exact order/entity grain and unresolved relation paths scoped to affected cases. Continue independent role/mention/turn evaluation.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Catalog Publication,BLOCKED,P0,"[""C-02"", ""C-04"", ""X-01""]","[""Actual isolated collections and Redis marker absent; legacy 142 rows unstamped. 290 records generated locally from current capture with placeholder vectors only."", ""Current source mapping capture and offline value read/acceptance: docs/cutover/v2_entity_value_sources/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Fresh target/persistence evidence and guarded candidate: docs/cutover/catalog_publication_candidate/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Keep production recovery/publication as Canary/Cutover gates. Offline evaluation and isolated plan-only shadow do not depend on Redis production recovery. Continue frozen-catalog evaluation. Validate actual entity-value lookup and result behavior for cases that require source values; do not block unrelated axes. Close production deployment trust and recovery before canary/cutover; continue offline evaluation now.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Oagnet Scope,BLOCKED,P0,"[""X-01""]","[""Oagnet/tests/test_scope_closure.py and tests/test_scope_contract.py pass; deployed revision not verified"", ""Copied-model metadata joins now tested with real SQL execution on synthetic fixtures; actual 81/[205] capture has 13/13 owned dimensions; runtime publication unverified"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Fresh target/persistence evidence and guarded candidate: docs/cutover/catalog_publication_candidate/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Close production deployment trust and recovery before canary/cutover; continue offline evaluation now.,PRODUCTION_REPLACEMENT_ACCEPTANCE
ASL Contract,FAIL,P1,"[""S-01"", ""V-03""]","[""V2 analytical compiler absent; downstream current ASL version 2.0"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]","Complete loss-aware lowering for supported identity/query-shape combinations; keep unsupported cases explicit without gating turn/role/mention Gold. Bind actual ASL/SQL output identities and execution receipts to ResultContract, including correct baseline period selection/bucket pairing. Arithmetic consistency alone does not prove source query correctness.",PRODUCTION_REPLACEMENT_ACCEPTANCE
ResultContract,BLOCKED,P1,"[""V-03""]","[""app/semantic_v2/result_contract.py; deterministic compiler and proof validators are fixture-tested"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Ordered path/occurrence source acceptance and 250 actual-catalog typed walks: docs/cutover/v2_relation_paths/closure_report.md"", ""Typed temporal dependency/period-output acceptance: docs/cutover/v2_temporal_comparisons/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]","Bind actual ASL/SQL output identities and execution receipts to ResultContract, including correct baseline period selection/bucket pairing. Arithmetic consistency alone does not prove source query correctness.",PRODUCTION_REPLACEMENT_ACCEPTANCE
Evaluation,NOT_EVALUATED,P0,"[""E-01""]","[""Gold/evaluator business metrics not produced"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Real-model Evidence,NOT_EVALUATED,P1,"[""E-02""]","[""Real-model calls remain 0; no winner inferred"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Address measured parser failures; compare models available to this account under identical bounded settings. Do not change production defaults or claim unavailable candidates are evaluated.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Shadow Evidence,NOT_EVALUATED,P0,"[""H-01""]","[""No real shadow sampling; synthetic shadow is not deployed evidence"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]","After relevant evaluation passes, run isolated plan-only shadow without SQL, production-state writes or response takeover.",PRODUCTION_REPLACEMENT_ACCEPTANCE
Rollback,BLOCKED,P1,"[""R-01""]","[""Catalog index reactivation tested including obsolete authority and ABA rejection; V1/V2 canary rollback remains unimplemented/unproven"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]","After offline and real shadow gates, prepare canary flag, automatic stop/rollback procedure and drill; obtain user approval before formal replacement.",PRODUCTION_REPLACEMENT_ACCEPTANCE
