failure_id,source,test_nodeids,historical_case_ids,conversation_history,current_utterance,expected_behavior,actual_behavior,affected_business_capability,repeatability,first_divergence_stage,root_cause_class,severity,owning_service,evidence,status,failure_signature,signature_id,baseline_status,baseline_root_cause_class,final_test_outcomes,evidence_need
pytest-11,"[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_closed_form_pending_reply_skips_async_intent_model_path""]",[],"[""查询销售额""]",本月,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-11-run-1.json"", ""docs/phase0b/independent_runs/failure-11-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_pending_execution_transition.py::test_closed_form_pending_reply_skips_async_intent_model_path"": ""failed""}",
pytest-12,"[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_filled_slot_can_transition_to_asl_clarification_then_complete""]",[],"[""帮我查销售额"", ""本月""]",含税,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-12-run-1.json"", ""docs/phase0b/independent_runs/failure-12-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_pending_execution_transition.py::test_filled_slot_can_transition_to_asl_clarification_then_complete"": ""failed""}",
pytest-13,"[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_terminal_dependency_failure_clears_resolved_pending_state""]",[],"[""帮我查销售额""]",本月,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 2 == 1
E        +  where 2 = len([CanonicalAnalysisRequest(schema_version='1.0', request_id=UUID('a6ae906f-70c6-47cf-8de1-a68abad0a3e2'), conversation_...mode='AUTO', confirmed_memory_ids=[], confirmed_preferences=[], dependency_constraints=[], pending_state_version=None)])
E        +    where [CanonicalAnalysisRequest(schema_version='1.0', request_id=UUID('a6ae906f-70c6-47cf-8de1-a68abad0a3e2'), conversation_...mode='AUTO', confirmed_memory_ids=[], confirmed_preferences=[], dependency_constraints=[], pending_state_version=None)] = <test_pending_execution_transition.FailingRetrieval object at 0x0000020E101B30B0>.requests",time_range,DETERMINISTIC,UNKNOWN,UNKNOWN_NEEDS_EVIDENCE,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-13-run-1.json"", ""docs/phase0b/independent_runs/failure-13-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",UNKNOWN_NEEDS_EVIDENCE,UNKNOWN|QUERY|QUERY|time_range|pending_terminal_call_count,2b542e44b71c3161,OPEN,STALE_TEST,"{""tests/test_pending_execution_transition.py::test_terminal_dependency_failure_clears_resolved_pending_state"": ""failed""}",Pending-transition test starts from obsolete missing-period setup; terminal-call count needs isolated state replay before assigning the downstream cause.
pytest-14,"[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_corrected_pending_request_sends_no_negated_metric_to_retrieval""]",[],"[""查询销售额""]",不是销售额，是订单量，查2026年7月,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'SAFE_FALLBACK' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + SAFE_FALLBACK",time_range,DETERMINISTIC,UNKNOWN,UNKNOWN_NEEDS_EVIDENCE,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-14-run-1.json"", ""docs/phase0b/independent_runs/failure-14-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",UNKNOWN_NEEDS_EVIDENCE,UNKNOWN|QUERY|QUERY|time_range|pending_metric_negation_fixture,5a4268b48e5c2d18,OPEN,STALE_TEST,"{""tests/test_pending_execution_transition.py::test_corrected_pending_request_sends_no_negated_metric_to_retrieval"": ""failed""}",Pending setup and backend ambiguity behavior interact; need an isolated governed candidate fixture before assigning the later negation cause.
pytest-15,"[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_correction_after_completed_turn_replaces_old_dimension""]",[],"[""查询2026年7月按区域拆分销售额""]",不看区域了，按渠道拆分,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'NEEDS_CLARIFICATION' == 'COMPLETED'
E
E         - COMPLETED
E         + NEEDS_CLARIFICATION",dimensions,DETERMINISTIC,TURN_ADMISSION,REAL_PRODUCTION_BUG,P0,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-15-run-1.json"", ""docs/phase0b/independent_runs/failure-15-run-2.json"", ""tests/test_pending_execution_transition.py; current business slot mutation requirement""]",FIXED,TURN_ADMISSION|QUERY|QUERY|dimensions|correction_loses_context,758e38083933e9b1,OPEN,REAL_PRODUCTION_BUG,"{""tests/test_pending_execution_transition.py::test_correction_after_completed_turn_replaces_old_dimension"": ""passed""}",
pytest-16,"[""CURRENT_PYTEST""]","[""tests/test_runtime_regressions.py::test_relationship_wording_does_not_deduplicate_order_facts""]",[],[],,Exact assertion and fixture in test_nodeids,E       AssertionError: assert '| 订单号 | 商品 |' in '共查询到 2 条明细。\n\n| 订单号 | 商品名称 |\n| --- | --- |\n| A-1 | 甲 |\n| A-1 | 甲 |',display,DETERMINISTIC,RESULT_VALIDATION,STALE_TEST,P2,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-16-run-1.json"", ""docs/phase0b/independent_runs/failure-16-run-2.json"", ""tests/test_runtime_regressions.py:test_query_answer_uses_business_markdown_table_and_hides_physical_prefix""]",STALE_EXPECTATION_RETAINED,RESULT_VALIDATION|QUERY|QUERY|display|governed_display_label,224717a404640213,OPEN,STALE_TEST,"{""tests/test_runtime_regressions.py::test_relationship_wording_does_not_deduplicate_order_facts"": ""failed""}",
pytest-17,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_explicit_day_range_resolves_report_time_without_model_reinterpretation""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-17-run-1.json"", ""docs/phase0b/independent_runs/failure-17-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_explicit_day_range_resolves_report_time_without_model_reinterpretation"": ""failed""}",
pytest-18,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[False]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-18-run-1.json"", ""docs/phase0b/independent_runs/failure-18-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[False]"": ""failed""}",
pytest-19,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[True]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-19-run-1.json"", ""docs/phase0b/independent_runs/failure-19-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[True]"": ""failed""}",
pytest-20,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u4f60\\u597d-CHAT-COMPLETED]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-20-run-1.json"", ""docs/phase0b/independent_runs/failure-20-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u4f60\\u597d-CHAT-COMPLETED]"": ""failed""}",
pytest-21,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u53d6\\u6d88-REPORT_GENERATION-CANCELLED]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-21-run-1.json"", ""docs/phase0b/independent_runs/failure-21-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u53d6\\u6d88-REPORT_GENERATION-CANCELLED]"": ""failed""}",
pytest-22,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u6362\\u4e2a\\u95ee\\u9898\\uff0c\\u67e5\\u8be2\\u672c\\u6708\\u9500\\u552e\\u989d-METRIC_QUERY-COMPLETED]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-22-run-1.json"", ""docs/phase0b/independent_runs/failure-22-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u6362\\u4e2a\\u95ee\\u9898\\uff0c\\u67e5\\u8be2\\u672c\\u6708\\u9500\\u552e\\u989d-METRIC_QUERY-COMPLETED]"": ""failed""}",
pytest-23,"[""CURRENT_PYTEST""]","[""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u67e5\\u8be2\\u6628\\u5929\\u8ba2\\u5355\\u660e\\u7ec6\\uff0c\\u663e\\u793a\\u8ba2\\u5355\\u53f7\\u548c\\u91d1\\u989d-DETAIL_QUERY-COMPLETED]""]",[],[],,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-23-run-1.json"", ""docs/phase0b/independent_runs/failure-23-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|REPORT|QUERY|time_range|obsolete_mandatory_period,5d4e124c4c5af3ab,OPEN,STALE_TEST,"{""tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\\u67e5\\u8be2\\u6628\\u5929\\u8ba2\\u5355\\u660e\\u7ec6\\uff0c\\u663e\\u793a\\u8ba2\\u5355\\u53f7\\u548c\\u91d1\\u989d-DETAIL_QUERY-COMPLETED]"": ""failed""}",
pytest-24,"[""CURRENT_PYTEST""]","[""tests/test_session_event_log.py::test_orchestrator_records_replayable_request_intent_and_final_events""]",[],[],你好,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert [] == [<SessionEven...ACE_SUMMARY'>]
E
E         Right contains 4 more items, first extra item: <SessionEventType.USER_QUERY: 'USER_QUERY'>
E         Use -v to get more diff",events,DETERMINISTIC,SESSION_STATE,LEGACY_BEHAVIOR_DEBT,P2,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-24-run-1.json"", ""docs/phase0b/independent_runs/failure-24-run-2.json"", ""tests/test_session_event_log.py""]",DEFERRED_P2,SESSION_STATE|QUERY|QUERY|events|events_absent,bfb8618e94a24136,OPEN,LEGACY_BEHAVIOR_DEBT,"{""tests/test_session_event_log.py::test_orchestrator_records_replayable_request_intent_and_final_events"": ""failed""}",
pytest-25,"[""CURRENT_PYTEST""]","[""tests/test_task_dag.py::test_real_report_classifier_resumes_all_facets_with_one_period""]",[],[],分析上海市紫杉醇释放冠脉球囊导管整体销售趋势、医院覆盖、合作经销商数据，输出分析报告,Exact assertion and fixture in test_nodeids,"E           AssertionError: assert None is not None
E            +  where None = CanonicalAnalysisRequest(schema_version='1.0', request_id=UUID('add3cf98-931f-40b5-afd4-9b43555b25f8'), conversation_i..._mode='AUTO', confirmed_memory_ids=[], confirmed_preferences=[], dependency_constraints=[], pending_state_version=None).time_range",time_range,DETERMINISTIC,RULE_PARSE,UNKNOWN_NEEDS_EVIDENCE,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-25-run-1.json"", ""docs/phase0b/independent_runs/failure-25-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",UNKNOWN_NEEDS_EVIDENCE,RULE_PARSE|REPORT|QUERY|time_range|report_shared_period_policy,3e1e2d95209ae7eb,OPEN,STALE_TEST,"{""tests/test_task_dag.py::test_real_report_classifier_resumes_all_facets_with_one_period"": ""failed""}",Report owner must confirm whether every master-data facet shares transaction time or retains all-history scope.
pytest-26,"[""CURRENT_PYTEST""]","[""tests/test_tracing_evaluation.py::test_orchestrator_records_trace_summary_after_final_event""]",[],[],你好,Exact assertion and fixture in test_nodeids,E       IndexError: list index out of range,events,DETERMINISTIC,SESSION_STATE,LEGACY_BEHAVIOR_DEBT,P2,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-26-run-1.json"", ""docs/phase0b/independent_runs/failure-26-run-2.json"", ""tests/test_tracing_evaluation.py""]",DEFERRED_P2,SESSION_STATE|QUERY|QUERY|events|events_absent,bfb8618e94a24136,OPEN,LEGACY_BEHAVIOR_DEBT,"{""tests/test_tracing_evaluation.py::test_orchestrator_records_trace_summary_after_final_event"": ""failed""}",
pytest-27,"[""CURRENT_PYTEST""]","[""tests/test_workflow.py::test_workflow_clarify_then_complete""]",[],"[""帮我查一下销售额""]",本月,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert 'COMPLETED' == 'NEEDS_CLARIFICATION'
E
E         - NEEDS_CLARIFICATION
E         + COMPLETED",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-27-run-1.json"", ""docs/phase0b/independent_runs/failure-27-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_workflow.py::test_workflow_clarify_then_complete"": ""failed""}",
